time_noise,start_sample,matched_peak_rows,file,return_sample,sweep
"[np.float64(33.80535), np.float64(33.8054), np.float64(33.80544999999999), np.float64(33.805499999999995), np.float64(33.80555), np.float64(33.8056), np.float64(33.80565)]",176107,[],2023_08_23_0038.abf,176113,1
"[np.float64(35.560599999999994), np.float64(35.560649999999995), np.float64(35.5607), np.float64(35.56075), np.float64(35.5608), np.float64(35.560849999999995), np.float64(35.5609)]",211212,[],2023_08_23_0038.abf,211218,1
"[np.float64(35.984899999999996), np.float64(35.98495), np.float64(35.985), np.float64(35.98505), np.float64(35.985099999999996), np.float64(35.98515)]",219698,[],2023_08_23_0038.abf,219703,1
"[np.float64(57.81525), np.float64(57.8153), np.float64(57.81535), np.float64(57.8154), np.float64(57.81545), np.float64(57.8155), np.float64(57.81555), np.float64(57.815599999999996)]",156305,[],2023_08_23_0038.abf,156312,2
"[np.float64(59.4255), np.float64(59.42555), np.float64(59.4256), np.float64(59.42565), np.float64(59.4257), np.float64(59.42575), np.float64(59.425799999999995), np.float64(59.42585), np.float64(59.4259)]",188510,[],2023_08_23_0038.abf,188518,2
"[np.float64(60.7017), np.float64(60.70175), np.float64(60.7018), np.float64(60.70185), np.float64(60.701899999999995), np.float64(60.70195), np.float64(60.702), np.float64(60.70205)]",214034,[],2023_08_23_0038.abf,214041,2
"[np.float64(82.74145), np.float64(82.7415), np.float64(82.74155), np.float64(82.7416), np.float64(82.74164999999999), np.float64(82.7417), np.float64(82.74175), np.float64(82.7418)]",154829,"[{'Event.Number': '917', 'Record': '3', 'Event.Time..s.': '82.74165', 'Baseline..pA.': '70.0555492505552', 'Peak..pA.': '376.483798595738', 'Amplitude..pA.': '306.428249345182', 'Rise.Time..ms.': '0.249999999994088', 'Half.Width..ms.': '0.299999999995748', 'Decay.Time..ms.': '0.10000000000332', 'Decay.Fit.b0': '74.5888025954836', 'Decay.Fit.b1': '294.590691520435', 'Decay.Fit.Tau..ms.': '0.0717950231253931', 'AUC..pA.ms.': '303.120153993752', 'rise_max_time': '82.74165', 'baseline_time': '82.74135', 'event_index': '154833', 'file_prefix': '2023_08_23_0038', 'event_id': '2023_08_23_0038_ev00917_rec3', 'noise': 'no', 'event_entry_number': '39186', 'corrected_peak_index': 154846, 'corrected_peak_time': np.float64(82.7423), 'corrected_peak_pA': np.float64(98.41918182373047), 'corrected_peak_amp_pA': np.float64(28.363632573175266)}]",2023_08_23_0038.abf,154836,3
"[np.float64(82.79605), np.float64(82.7961), np.float64(82.79615), np.float64(82.7962), np.float64(82.79625), np.float64(82.7963)]",155921,[],2023_08_23_0038.abf,155926,3
"[np.float64(33.83595), np.float64(33.836), np.float64(33.83605), np.float64(33.836099999999995), np.float64(33.836149999999996), np.float64(33.8362), np.float64(33.83624999999999), np.float64(33.836299999999994)]",176719,[],2023_08_31_0005.abf,176726,1
"[np.float64(34.741099999999996), np.float64(34.74115), np.float64(34.7412), np.float64(34.741249999999994), np.float64(34.741299999999995), np.float64(34.74135)]",194822,[],2023_08_31_0005.abf,194827,1
"[np.float64(35.704699999999995), np.float64(35.70475), np.float64(35.7048), np.float64(35.70484999999999), np.float64(35.704899999999995), np.float64(35.70495)]",214094,[],2023_08_31_0005.abf,214099,1
"[np.float64(84.76415), np.float64(84.7642), np.float64(84.76425), np.float64(84.7643), np.float64(84.76435), np.float64(84.7644), np.float64(84.76445)]",195283,[],2023_08_31_0005.abf,195289,3
"[np.float64(8.804499999999999), np.float64(8.804549999999999), np.float64(8.804599999999999), np.float64(8.804649999999999), np.float64(8.804699999999999)]",176090,"[{'Event.Number': '131', 'Record': '0', 'Event.Time..s.': '8.8045', 'Baseline..pA.': '-135.910572470977', 'Peak..pA.': '-395.879010431829', 'Amplitude..pA.': '-259.968437960852', 'Rise.Time..ms.': '0.399999999999068', 'Half.Width..ms.': '0.399999999999068', 'Decay.Time..ms.': '0.249999999999417', 'Decay.Fit.b0': '-125.884592553839', 'Decay.Fit.b1': '-402.932477508164', 'Decay.Fit.Tau..ms.': '0.190443853899353', 'AUC..pA.ms.': '174.894553767916', 'rise_max_time': '8.8045', 'baseline_time': '8.80405', 'event_index': '176090', 'file_prefix': '2023_08_31_0006', 'event_id': '2023_08_31_0006_ev00131_rec0', 'noise': 'yes', 'event_entry_number': '41864', 'corrected_peak_index': 176104, 'corrected_peak_time': np.float64(8.8052), 'corrected_peak_pA': np.float64(-137.02392578125), 'corrected_peak_amp_pA': np.float64(-1.1133533102729984)}]",2023_08_31_0006.abf,176094,0
"[np.float64(9.758149999999999), np.float64(9.758199999999999), np.float64(9.758249999999999), np.float64(9.758299999999998), np.float64(9.758349999999998), np.float64(9.7584), np.float64(9.75845)]",195163,[],2023_08_31_0006.abf,195169,0
"[np.float64(10.5885), np.float64(10.58855), np.float64(10.5886), np.float64(10.58865), np.float64(10.5887), np.float64(10.58875), np.float64(10.588799999999999), np.float64(10.588849999999999)]",211770,[],2023_08_31_0006.abf,211777,0
