corrected_baseline_pA,event_id,Record,Peak..pA.,corrected_amplitude_pA,Decay.Fit.b0,rise_max_time,event_entry_number,Event.Time..s.,file_prefix,Event.Number,corrected_baseline_index,corrected_baseline_time,Decay.Fit.Tau..ms.,event_index,baseline_time,Rise.Time..ms.,noise,Amplitude..pA.,Half.Width..ms.,Decay.Fit.b1,AUC..pA.ms.,Decay.Time..ms.,Baseline..pA.
,2026_01_14_0036_ev00251_rec0,0,-196.228012084961,,-161462.889200916,14.0604,277074,14.06065,2026_01_14_0036,251,,,998106.926005362,281213,14.05585,4.55000000000005,no,-22.7573939732143,10.6999999999999,161279.214643132,-434.828622000558,0,-173.470618111747
,2026_01_14_0036_ev00252_rec0,0,-205.993637084961,,77015.6312187931,14.0879,277075,14.0892,2026_01_14_0036,252,,,118427.865335527,281784,14.08535,2.50000000000128,no,-29.60205078125,17.3500000000004,-77216.1316776552,-501.03759765625,20.2000000000009,-176.391586303711
,2026_01_14_0036_ev00253_rec0,0,-194.396957397461,,-156.91158572834,14.16465,277076,14.16565,2026_01_14_0036,253,,,18.9123363804789,283313,14.1608,3.39999999999918,no,-23.4549386160714,10.6000000000002,-36.9368635452584,-197.58606262207,9.19999999999988,-170.94201878139
,2026_01_14_0036_ev00254_rec0,0,-195.922836303711,,-159.185973334641,14.19835,277077,14.19895,2026_01_14_0036,254,,,7.90711561165068,283979,14.19725,0.950000000001339,no,-29.4421968005952,5.39999999999985,-37.783142671159,-102.267031733195,5.80000000000069,-166.480639503116
,2026_01_14_0036_ev00255_rec0,0,-172.729476928711,,-150.487060783407,14.23755,277078,14.23905,2026_01_14_0036,255,,,14.0333682089047,284781,14.23715,0.299999999999301,no,-15.622079031808,9.10000000000011,-24.9303903883713,-133.757259968349,9.80000000000025,-157.107397896903
,2026_01_14_0036_ev00256_rec0,0,-178.527816772461,,-171.428862130025,14.28585,277079,14.28635,2026_01_14_0036,256,,,0.920409592798751,285727,14.28245,3.24999999999953,no,-25.7074112665086,32.7999999999999,-4.122210700564,-628.27728040786,29.6500000000002,-152.820405505952
,2026_01_14_0036_ev00257_rec0,0,-194.702133178711,,-153.844578727986,14.30475,277080,14.306,2026_01_14_0036,257,,,6.64527784798265,286120,14.3013,3.19999999999965,no,-31.7818748837425,7.14999999999932,-42.8846940281397,-110.650372296287,4.79999999999947,-162.920258294968
,2026_01_14_0036_ev00258_rec0,0,-156.8603515625,,0.00636324384092273,14.33865,277081,14.33945,2026_01_14_0036,258,,,596.389097416938,286789,14.33765,1.00000000000122,no,-5.14439174107142,16.9999999999995,-158.563100872746,-99.3074537004739,18.8499999999987,-151.715959821429
,2026_01_14_0036_ev00259_rec0,0,-154.11376953125,,-147.53873620392,14.39145,277082,14.39175,2026_01_14_0036,259,,,4.61399010630489,287835,14.391,0.450000000000728,no,-4.8828125,3.60000000000049,-7.83860930246298,10.0173950195312,3.70000000000026,-149.23095703125
,2026_01_14_0036_ev00260_rec0,0,-157.16552734375,,-708499.447799727,14.4321,277083,14.43305,2026_01_14_0036,260,,,599871.549522014,288661,14.4307,1.40000000000029,no,-8.80650111607142,7.60000000000005,708353.904796927,-462.274658693586,5.15000000000043,-148.359026227679
,2026_01_14_0036_ev00261_rec0,0,-192.565902709961,,-150.330222552619,14.4574,277084,14.4583,2026_01_14_0036,261,,,9.71411787535133,289166,14.45295,4.29999999999886,no,-37.6964605422247,10.0499999999997,-45.7888577747202,-410.843707438878,8.79999999999903,-154.869442167736
,2026_01_14_0036_ev00262_rec0,0,-184.326156616211,,-148.502722838638,14.53575,277085,14.5358,2026_01_14_0036,262,,,11.0841239525053,290716,14.53325,2.44999999999962,no,-30.4594341459728,6.75000000000026,-31.8293932537772,-216.225921449207,7.20000000000098,-153.866722470238
,2026_01_14_0036_ev00263_rec0,0,-160.21728515625,,-155.791723642627,14.58125,277086,14.58125,2026_01_14_0036,263,,,0.00011111762774501,291625,14.58105,0.14999999999965,no,-8.6611793154762,0.0999999999997669,-4.42469810271828,-128.141691771008,0.0499999999998835,-151.556105840774
,2026_01_14_0036_ev00264_rec0,0,-177.001937866211,,-154.745839846611,14.60085,277087,14.60125,2026_01_14_0036,264,,,6.05362583807136,292025,14.59875,1.75000000000125,no,-28.9771517799014,7.55000000000017,-20.9415044377822,-369.263580758231,9.99999999999979,-148.02478608631
,2026_01_14_0036_ev00265_rec0,0,-174.560531616211,,-146.063861387664,14.68905,277088,14.69295,2026_01_14_0036,265,,,6.73809814462062,293859,14.68665,2.25000000000009,no,-27.9889635358538,10.4000000000006,-30.1918966810511,-325.610411616734,6.89999999999991,-146.571568080357
,2026_01_14_0036_ev00266_rec0,0,-153.80859375,,-144.594900627408,14.7277,277089,14.7281,2026_01_14_0036,266,,,7.69877711308555,294562,14.727,0.700000000000145,no,-5.04266648065476,5.45000000000151,-12.2245316503115,27.9152279808409,5.44999999999973,-148.765927269345
